"","ProductName","reviewers","star_rates","date_of_review","text_review"
"1","Redragon Gaming Mouse, Wired Gaming Mouse with RGB Backlit, 8000 DPI Adjustable, Mouse with 9 Programmable Macro Buttons & Fire Button, Software Supports DIY Keybinds, M910-K","Tyler Hardy","5.0 out of 5 stars","May 28, 2020","







  
  
    I bought this in 2017. It is now 2020. I am still using it. It still works as well as the day I got it.Left button still clicks. Right button still clicks. Scroll wheel still scrolls. Side buttons still work. Except in some situations, namely certain games that I'm pretty sure don't accept extra mouse button inputs anyway. For example, in Deus Ex Human Revolution, Bioshock, and Starcraft 2 they don't work, but in Fallout: New Vegas, Metro 2033, and Dota 2 they work perfectly. Seems more a problem with the games themselves than with the mouse. Regardless, their primary function, to go forward and backward on most web pages, still works fine. I use it regularly- Chrome, Firefox, Edge, Opera, even gaming apps like Steam, Origin, Battlenet, and Gog- it's a great unexpected utility. It's easy not to click them if you don't want to unless you have fat thumbs or a lack of muscle control; luckily I have neither but YMMV. It's a hardy piece of hardware. In the games I mentioned above, you need to do a lot of clicking. A lot. Honestly I've clicked it so many times that sometimes my fingers get tired (especially in RTS/Moba which take a LOT of clicking) but the mouse still clicks. It's been three years, I must have clicked hundreds of thousands of times if not millions, and it Still. Keeps. Clicking. Granted I keep it clean and pristine and don't let it get gummed up with cheeto dust or bbq seasoning but it should go without saying that you take care of your electronics or they don't work as well later.The weight and the DPI adjustments are functional, I just don't use them. I removed the weights because they bothered me bu hey they're removable so no harm no foul. Some certain games with messed up mouse acceleration or weird sensitivity input (looking at you, Dead Space) do require a DPI adjustment. There's only 3 tiers which is meh but it's better than none or having 3 million tiers. The lasers are incredibly functional on a variety of surfaces and the material is smooth enough that many surfaces can be used well. Mattress, mousepad, desk, a pair of jeans, I'm honestly shocked how well it works on different materials. The cord has frayed slightly over the years but that's mostly because in my setup, the cord wraps around my external speakers to plug into my computer, and it seems to have only frayed where it rubs up against the speaker. Even then, only a few strands pop out, and the cord itself is still in great condition. The black and red color palette is inoffensive and helps to see where it is in the dark. And the design overall is pretty sleek and cool. My hand is perfectly sized for the hardware so if your hand is the size of my hand (I have hands of fairly average size) you won't have an issue. I can't speak on battery life because it has a cable.Essentially this is baby's first gaming mouse. It's pretty much right in the middle between a practical one typically used for web browsing etc, and a pure gaming one which, well, is used primarily for playing video games. It's enough that I can use it for both activities without encountering any problems. I have to use it in the correct USB slot or I'll encounter problems, but that shouldn't come as a shock to anybody who knows basic electronics. I trust Redragon brand enough that when I buy a keyboard and replacement mouse (if this one ever breaks) it'll be them. Thanks for three years of a good mouse Redragon; here's to three more.
  
"
"2","Redragon Gaming Mouse, Wired Gaming Mouse with RGB Backlit, 8000 DPI Adjustable, Mouse with 9 Programmable Macro Buttons & Fire Button, Software Supports DIY Keybinds, M910-K","Lexster","5.0 out of 5 stars","February 23, 2024","







  
  
    Like most products from Redragon, this mouse ticks all the boxes when it comes to features, usability and comfort!The comfort of this mouse is very good! It's large enough to fit in the hand without being too large and has enough weight without being too heavy.The sensor is very precise and the DPI selection is on par with what one would expect from a higher priced model from another manufacturer.The RGB aspect is varied enough to be fun and customizable enough to satisfy anyone's needs. If you don't want any lighting, there is an easy option to turn the lights off, and of course the mouse remembers your setting selection when power cycled or unplugged.The button selection is excellent and the button clicks are solid as usual.As this is a wired mouse, one can expect the usual quality cloth braided cable to be long and flexible.Over all, an excellent offering from Redragon! Whether you are looking for a mouse for gaming or for desktop use, you will not be disappointed with this Ranger model!
  
"
"3","Redragon Gaming Mouse, Wired Gaming Mouse with RGB Backlit, 8000 DPI Adjustable, Mouse with 9 Programmable Macro Buttons & Fire Button, Software Supports DIY Keybinds, M910-K","Brett Dent","4.0 out of 5 stars","April 5, 2015","







  
  
    ***UPDATE on 5/24/2015***After having had this mouse for some time, I'd like to elaborate on some of the points I made about the mouse.First, the weight of the mouse.  Now that I have gotten used to this mouse, the weight is perfect.  Remember, I was coming from a very heavy R.A.T. 7 mouse that made me feel a bit shocked by how light this one is.  This mouse feels great and, not that the mouse is the ONLY reason, but I did manage to get from Silver Elite Master to DMG on CS:GO playing with this mouse and will not doubt hit The Global Elite down the road a bit.  The mouse is very ""grippy"" in my hands and this is very important, for instance, when you are zoomed in with a sniper rifle awaiting an enemy coming into your view from around a door or corner.  Using more of a claw grip in these instances allows me a ridiculous amount of control over my crosshair movement (in other words, I can accurately move the mouse just a sliver in any given direction).  A big part of this is probably due to the quality of the laser mouse in combination with my sensitivity settings (which for CS:GO are: 1.5 sensitivity, 0.80 scoped in sensitivity, Raw Input = on, and my Windows sensitivity is on the middle tick mark with acceleration off).The buttons have held up superbly.  They are still very responsive, especially with their ""clicky"" feedback.  Of special note is the mouse wheel.  The rubber ""tire"" like covering on it works great and the down-click motion is direct and not sloppy.  You know how some mouses, when you try to click the middle-mouse button, cause you to slip off the wheel or not be able to click it effortlessly?  I haven't ran into that issue yet with this mouse.Still happy with this purchase and I really cannot find a reason NOT to give it 5 stars.  It looks cool, functions great, and has had very little issues.With that said, I am giving it 4 stars due to a driver issue and computer sleep mode issue.  Whenever I put my computer to sleep and then wake it back up, I have to unplug and then re-plug the mouse to get Windows to recognize it.  I Googled this issue and nothing that would indicate it being anything else but this mouse.  My other mice don't have that issue and neither do my other USB devices.Also, I downloaded a driver/software for this mouse from the manufacturer's web site (if I recall correctly) and this caused my mouse to randomly click every few minutes.  During a match in CS:GO, you could imagine how this could really mess things up (sniping, defusing a bomb, maintaining stealth, having a grenade out).  After uninstalling the software, the mouse went back to normal.GET THIS MOUSE!  It really is an amazing value and I'd pay more than I did for it.  I got this for about $17 with Prime shipping.  I would easily have paid $25-30 knowing what I do now.***END UPDATE***Appearance:This mouse looks great, in my opinion.  It has a very aggressive look, and the pairing of a red and black color scheme is a nice touch.  The color LEDs appear on the back of the mouse and both sides which add a very coll effect.  Additionally, the side thumb buttons and the thumb rest are textured and/or slotted for design and grip.  SCORE: 9/10 for appearance.Build quality:So far, the mouse is holding up well.  There is a non-rubberized coating that is more like a matte finish on the main body of the mouse.  This seems to be slip resistant and helps with grip.  The buttons are very ""clicky"" which is great.  I play CS:GO a lot, and I had an issue with my R.A.T. 7 where it felt as if some of the buttons were a bit mushy.  I immediately noticed the difference with the buttons of this mouse and love the switches that the buttons use.  The mouse, overall, feels like it will hold up structurally for some time, and all of the pieces look well-finished and put together.  The braided cable tells me they went the extra mile to make sure this mouse delivers.  SCORE: 9/10Feel:This is the big category for me.  The mouse feels very light, even with the weights inserted into the chassis.  It feels light enough that I almost wish it were just a tad bit heavier, but this could merely be just personal preference.  One other complain I have is the feel of the thumb rest.  It is a piece of textured plastic (which seems like good quality nonetheless).  My gripe is that it would be nice to have something a little ""grippier"" or ""rubbery"" there to make my thumb feel a little more like part of the mouse.  Although, I must say that I enjoy the slotted thumb rest and it seems to help with keeping my hand/thumb cooler.The buttons feel great and responsive.  Not spongy at all.  I love the crisp ""click"" that this mouse has on all of the buttons.  There is only one button to change the sensitivity, so it would have been nice to have another one to change it the opposite way.  In CS:GO, I like to down my sensitivity depending on what weapon I am using, and it can be tedious to have to click 3 times on one button to cycle the sensitivity back to my original one.  The mouse wheel is extra wide which is amazing.  The rubber grip on it ensures that you don't slip when using the scroll wheel.Lastly, this mouse's light weight feeling also gives it a feeling of being ""cheap.""  I do not look at this mouse as being cheap at all, but more like a very good value for what you get.  With that said, maybe it is just me and a heavier weighted mouse would make that feeling go away.  The low weight, however, makes it every easy to move the mouse a tiny distance on screen.  Which leads me to the mouse feet.  My R.A.T. 7 felt like it would jump around a bit when I would try to move my crosshair a tiny distance.  I think this was a combination of the mouse feet and the wide, wide design of the mouse.  This mouse has NO issue with tiny movements and I feel like I can manipulate the mouse very easily and securely.  SCORE: 9/10Value:Cannot beat the value.  I paid 17.00 with overnight Prime shipping for a 6-button, braided cable, laser mouse with adjustable sensitivity and awesome button switches.  I cannot find a good reason to use my other mice over this one.  SCORE: 10/10Overall Score: 9.25/10I would highly recommend this to anyone.  The price is low enough that you have no reason to have it, even as a backup mouse.  Some mice are good for certain things, so if you find that you don't need your ultra-hyped, overrated $75 mouse, give this one a try.  I would buy it again and will now look at Redragon's other products (such as their keyboards).
  
"
"4","Redragon Gaming Mouse, Wired Gaming Mouse with RGB Backlit, 8000 DPI Adjustable, Mouse with 9 Programmable Macro Buttons & Fire Button, Software Supports DIY Keybinds, M910-K","Brett Dent","5.0 out of 5 stars","September 25, 2016","







  
  
    The Redragon M601 is a mouse for the casual, penny-saving gamer. It has a unique design, is made of sturdy material, and has a decent amount of adjustability, all the while brandishing a price of lower than $15. There are very few alternatives out there that you could find that include all of the features of the M601 at such a low cost.Design and ComfortAside from the cost, the design and comfort of the M601 was the main selling point of the product. The design of the M601 is rather unique in that, instead of having rounded edges all around the mouse, it has pointed edges at the front which gives it the look of a dragon's claw. This coupled with the glowing Redragon icon at the base of the mouse gives the whole thing a sense of fantasy created around the Redragon name. But the design is used for more than just creating a fantasy around the product. The pointed edges towards the front of the mouse are slightly raised up on the sides which creates an indent in the middle of the mouse buttons where your fingers can rest comfortably. The edges are used as a way to guide your fingers into the middle of the left and right mouse buttons which makes it easy and comfortable for your fingers to rest and click on the middle of the buttons where it is easiest to get a response. Overall, the design of the mouse creates the experience of guiding a dragon's claw while simultaneously creating a comfortable mouse to rest your hands on.DurabilityAfter just over six months of continual use, there has been no noticeable degradation in my M601. The M601 is made of very sturdy materials and has a tight constitution meaning that there are no loose parts or buttons flopping around when the mouse gets moved from one place to another. Each click of the mouse is distinct and responsive. The cord is about 6 feet long and braided the whole way.PerformanceThe actual performance of the mouse is solid. The changeable DPI button works perfectly with its three adjustable setting. The two side buttons work as intended and the mouse's optical sensor is very responsive. The only stumble in performance that has been shown is this weird bug where if the computer is ever put to sleep then started back up again, the mouse will not work. The simple solution to this problem is just simply to unplug and plug back in mouse. This bug does not happen if you shut down or restart the computer, it only ever happens when the computer is put to sleep. It is a simple problem with an easy solution.Overall, this mouse is great for a casual gamer. It gives the perks of high end costing mice, like the adjustable DPI and durable construction, while also holding the cost of a low end mouse. If you are a casual gamer looking for a new, adjustable mouse while also looking to keep your wallet intact, this is the mouse you are looking for.
  
"
"5","Redragon Gaming Mouse, Wired Gaming Mouse with RGB Backlit, 8000 DPI Adjustable, Mouse with 9 Programmable Macro Buttons & Fire Button, Software Supports DIY Keybinds, M910-K","Chris J","5.0 out of 5 stars","September 20, 2017","







  
  
    You don't really appreciate something as simple as a product working the way it should and working incredibly well until you get a bad product. I originally bought a black with blue lights gaming mouse from another maker that had over 1500 reviews with a 4-star rating for a few dollars cheaper and I absolutely regretted it. That other brand was the Tecknet M268 black mouse with blue lighting didn't feel at all right in my hand. The plastic had no real texture to it and actually felt cheap and somewhat thin and brittle. Worst part was the cursor tracking. Trying to click on the X of a web page or a window was a nightmare. The cursor was jumpy and unstable and playing games on a 2560x1440 resolution screen where everything you needed to click on was tiny was impossible. I tried using different mouse pads and surfaces and nothing made it better. I had to return that and I'm glad I did.My new Redragon Centrophorus is the complete opposite of the other brand's. Here are the points of the Redragon I find superior to the other mouse:- The feel is just right. The weights inside this mouse gave it a nice heavier quality feel and movement of more expensive mice I own.- All the buttons have a nice if not perfectly satisfying resistance and ""click."" Even the wheel button feels good and solid when I press on it. The other mouse's buttons actually felt clunky and somewhat hollow sounding.- The cord wrapped in red and black braided fiber adds a nice touch which also looks and feels great compared to the other one. I didn't realize there was a difference between braided cords until I felt the 2 side-by-side.- The red light inside slowly pulses illuminating the all the crevises, windows, and logo is just beautiful. The other one was just a dim blue light that was always on.- The center button to change the DPI actually makes a difference when I press it. The first level makes the cursor move slow and the 4th level makes it zip across the screen with barely a flick of the wrist. My favorite and most used it the second level.- It comes in a reusable plastic storage box with a form fitted clear plastic inner packaging shell and a locking lid that snaps closed on all four sides. The box even has the logo imprinted onto the lid. The other one came in a small thin brown cardboard box I've already tossed in the recycle bin (I hope it's recyclable!)- Best of all and most important in my opinion is the incredibly smooth, accurate, and precise tracking ability of the mouse cursor. It seems to just glide across the screen and gives me absolute control of where I want it to go and lands dead-on to what I need to click. It actually has more control than all of my 50 dollar plus Logitech mice. No exaggerating! I think it might be due to the driver and software I downloaded for the Redragon, but it was worth it. This is one point that I'm sure anyone will agree on. If a mouse can't give you precise control and do what it's supposed to besides looking good then it's a waste of money no matter how little you spend on it.Overall, for only literally a few dollars more, this mouse has surprisingly exceeded all of my expectations and is an absolute pleasure to use. I noticed my PC gaming had improved due to not missing any of the buttons anymore or taking extra time and effort to correctly position the cursor where I need it to be. I always thought great gaming mice had to be expensive, but Redragon really changed my views about that. You won't be disappointed with this one.
  
"
"6","Redragon Gaming Mouse, Wired Gaming Mouse with RGB Backlit, 8000 DPI Adjustable, Mouse with 9 Programmable Macro Buttons & Fire Button, Software Supports DIY Keybinds, M910-K","John Q","5.0 out of 5 stars","March 7, 2016","







  
  
    AFTER ONE YEAR: This mouse is still great for the price. I've had two within the past year, but I honestly can't blame the manufacturers. This mouse can take some ABUSE! My cats push it off the table onto the wood floor every day, multiple times a day. They've chewed on the cord, they've ripped it out of the USB port... anything you can think of. I eventually ran into disconnecting issues with the first mouse, but like I said it took abuse. My ""new"" 6 month old mouse is still going strong. My boyfriend coincidentally has the same mouse, and he's had it for about a year and a half with no issues.For the price, I really can't complain about this mouse. It has a nice textured feel to it, the USB connector fits well in my USB port, the cord is high quality braided nylon. The color scheme is good, gamers love our edgy red LED lights. It's bright, so you might need to unplug it at night.KEEP IN MIND, for those of you buying your first gaming mouse or looking for a present: 6 buttons means the left click, the right click, the center scroll wheel, 2 side buttons, and the DPI button. Mouses advertised as 6 buttons only have 4 that you can use (5 if you count the scroll wheel).PROS:-Good price-Textured grip, so even sweaty hands won't drop it-High quality braided nylon cord, colored black and red to match the mouse-Edgy color scheme (the red LEDs are nice and bright, you might need to unplug it at night)-Plug and play-no customization of the software required-Customizable weights, which I was unable to try on this mouse but is a good feature nonetheless (more on this in the cons section)-Good size- bigger than a ""regular"" mouse but not too big for my hands, which I have run into before.-Works perfectly on random surfaces-I usually play on my bed or on the couch and I have yet to need a mousepad.CONS:-Long cord- like, way too long. I could sit 6 feet away from my computer and still use this mouse. It's annoying and it gets in the way. Plus I'm sure over time it will start to kink and cause issues.-The cover that holds in the weights just fell off after a day of use before I was able to mess with them, and now I can't find it or the weights. The mouse works well without them though, although it will feel light if you are used to weights.Overall, this seems like a good mouse for the casual gamer. The last mouse I bought of similar price (an AZIO) only lasted a couple months, though, so time will tell if this mouse will be more durable than that one. If I have issues I will be sure to update the review accordingly.
  
"
"7","Redragon Gaming Mouse, Wired Gaming Mouse with RGB Backlit, 8000 DPI Adjustable, Mouse with 9 Programmable Macro Buttons & Fire Button, Software Supports DIY Keybinds, M910-K","John Q","5.0 out of 5 stars","August 9, 2015","







  
  
    Alright, I am going to do my best with this review here.For starters I want to start off with what I love about this mouse. Oh my gosh where to start. The mouse I used previous to this Redragon was a Microsoft Mobile 3500 model, which is a small wireless mouse that I used for the past year. The 3500 mobil model is great for travel and bringing to class when I am on my college campus, but not great for everything. So I decided to get another mouse that might be better for my gaming and more at home use. I saw this mouse and thought that for 14 dollars I can try out this highly rated game mouse and loved it. I play games often so this mouse has started improving everything I do in that sense. It has great response time and I love that is has customizable side buttons that I can bind in game. Its also nice to have a button that changes the mouse dpi setting with just one click. Its nice if you prefer your mouse more sensitive in game and less sensitive out of it (like I do. I like having it at 2000 dpi in game and 1600 outside). On top of that I think it looks really cool. Overall I love almost everything about it.Almost everything. There is one issue I run into and I know I am not alone. It has to do with the driver/mouse. When I first was trying this mouse out I was excited to bind the buttons on the side to commands for the game I play most (tf2). When I got in the game and tried to bind the buttons they did not respond and instead they both registered as m3 instead of m4 or m5. I was very confused and so I did some looking around online on how to fix that, because I thought that the software that I got from the official website (www.redragonzone.com) would take care of that. Turns out that every time you restart the computer you need to open the set-up and repair the driver. It doesn't take long (less time than checking my e-mail everyday) and you only have to do that repair after your comp shut's down and starts back up again. To me its not a big issue and I am just fine with it, but if that would bug you than this is not the mouse for you.Overall this mouse is fantastic, and for 14 dollars I don't know if you can get a better deal. I definitely recommend this anyone looking for a game mouse but cannot spend a lot of money on it.As a side note, here are some other specs that are on the box that are not listed in the Amazon page (I want to include this so you can get and even better Idea about the mouse):- Gold Plated USB plug- 10 million click life- 8 mm width scroller- 5 Programmable buttons (as the 6th is the one that changes the dpi and the program has no way to change that.)
  
"
"8","Redragon Gaming Mouse, Wired Gaming Mouse with RGB Backlit, 8000 DPI Adjustable, Mouse with 9 Programmable Macro Buttons & Fire Button, Software Supports DIY Keybinds, M910-K","Juliana M.","3.0 out of 5 stars","July 11, 2015","







  
  
    ***Product review update after 2 long years of use***So, I've had this product for about 2 years now and have tried trouble shooting a lot of the problems myself, but now it's gotten to the point where I no longer want to waste more time on trying to salvage this thing. About 1 year of owning this mouse with moderate use, the scroll wheel started acting up and wouldn't catch anymore because the rubber part has it has lost its tension around the wheel and would slip when I'd scroll. At that time, I took apart the mouse and superglued the rubber piece to the underlying plastic wheel (which had no scoring or texture for the rubber to give it traction). I also unhooked the LED light power supply at that time because the breathing red light was just horrendous after about 3-4 months of having the mouse (wished there was an option switch this light on/off without having to take apart the mouse). The second fix came about 18 months after having the mouse but the left click button stopped working consistently. It would register only about 70-80% of the clicks and about  30%% of the time it would register as a double-click. I took about the mouse again and swapped the left and right click buttons, but this only helped with problem for 1-2 months. In all, the mouse lasted me just under 2 years with the tinkering that I had to do.Bottom line:Is it good for the average user?-Yes, for about 1 yearIs it good for the avid user/ gamer?-No for the avid user. No for the gamer, although this is a decent starter mouse to give you the feel of what you'd like for the more permanent replacement.Would I buy this again?-Unlikely---------------------------------------------------Great mouse for the price. It's stylish and has a quality feel to it. The braided cord is a nice touch and actually feels very rugged (I think it has a like a 10 lb tension to it or something). The buttons are rubberized for grip, which is nice and so far none of it has rubbed off or gotten sticky.The DPI button works pretty well and I definitely can tell the difference between the different settings.I bought for everyday net browsing, word processing, and occasional online gaming.The one thing that kind of bothers me about the mouse is contour. It feels like it's made for either right or left handed people and the design kind of makes the grip not as comfortable as it could have been. So along the sides of the mouse, there are grooves for your thumb and your 4th/5th finger. The thumb grooves feel pretty natural, which is very nice, and the side buttons are great too because they are textured differently to allow you to differentiate between the two. However, the grooves for the 4th/5th digit do not feel quite right. There is a little over hang from the buttons, that kind of forms the grooves, and it feels a little restricting. I know it seems like minutia, but I've formed a little callus on the medial side of my 4th finger because of this.
  
"
"9","Redragon Gaming Mouse, Wired Gaming Mouse with RGB Backlit, 8000 DPI Adjustable, Mouse with 9 Programmable Macro Buttons & Fire Button, Software Supports DIY Keybinds, M910-K","Mitchell Hudson","4.0 out of 5 stars","February 9, 2024","







  
  
    as a budget option this is a fantastic mouse, it feels good to hold, is customizable and comfortable to hold. they perform serviceably and i have not had any real issues functionality wise.the saying goes ""you get what you pay for"" and this holds true to an extend for these, i have gone through two and will be ordering a third one as the pads underneath, and mouse buttons tend to start going after a couple of years or so of use while my other mice have lasted reasonably longer.while i do personally not care for this fact, it is one that i am ok with.if youre on a budget or dont mind replacing it every few years, i would say seriously consider this as a budget or shorter time mouse to use.for 20-30$ this performs well and is a solid option for people on a budget
  
"
"10","Redragon Gaming Mouse, Wired Gaming Mouse with RGB Backlit, 8000 DPI Adjustable, Mouse with 9 Programmable Macro Buttons & Fire Button, Software Supports DIY Keybinds, M910-K","Mr. P","5.0 out of 5 stars","April 8, 2024","







  
  
    i still very much love this mouse i have big hands so ill need to get a bigger version but as a gaming mouse this is still pretty darn good~! especially if youve got the right size hands for it :)
  
"
